player,AGE,WEEKLY SALARY,,
Scott Malone,27,"20,000",,
Tom Smith,26,"20,000",,
Abdelhamid Sabiri,22,"18,000",,
Rajiv van La Parra,27,"18,000",,
Juninho Bacuna,21,"17,000",,
Michael Hefele,28,"15,000",,
Philip Biling,22,"15,000",,
Ben Hamer,31,"12,000",,
Joel Coleman,23,"10,000",,
Jon Gorenc Stankovic,22,"7,000",,
Jonas Lossl,29,"5,000",,
Jamie Vardy,31,"140,000",,
Kasper Schmeichel,31,"130,000",,
Harry Maguire,25,"90,000",,
Jonny Evans,30,"80,000",,
Adrien Silva,29,"80,000",,
Onyinye Ndidi,21,"75,000",,
Ricardo Pereira,24,"70,000",,
Ben Chilwell,21,"65,000",,
Kelechi Iheanacho,21,"60,000",,
Wes Morgan,34,"60,000",,
Demarai Gray,22,"55,000",,
Vicente Iborra,30,"55,000",,
James Maddison,0,"55,000",,
Christian Fuchs,32,"50,000",,
Nampalys Mendy,26,"50,000",,
Marc Albrighton,28,"45,000",,
Richad Ghezzal,26,"45,000",,
Danny Simpson,31,"45,000",,
Caglar Soyuncu,22,"45,000",,
Yohan Benalouane,31,"40,000",,
Andy King,29,"40,000",,
Shinji Okazaki,32,"35,000",,
Matty James,27,"32,000",,
Eldin Jakupovic,33,"23,000",,
Daniel Amartey,23,"21,000",,
Danny Ward,25,"20,000",,
Fousseni Diabat?,22,"15,000",,
Hamza Choudhury,21,"8,000",,
Mohamed Salah,26,"200,000",,
Roberto Firmino,26,"180,000",,
Virgil Van Dijk,27,"180,000",,
Jordan Henderson,28,"140,000",,
James Milner,32,"140,000",,
Daniel Sturridge,28,"130,000",,
Naby Keita,23,"120,000",,
Alex Oxlade-Chamberlain,25,"120,000",,
Adam Lallana,30,"110,000",,
Dejan Lovren,29,"100,000",,
Sadio Mane,26,"100,000",,
Joel Matip,27,"100,000",,
Fabinho Tavares,24,"100,000",,
Alisson Becker,25,"90,000",,
Xherdan Shaqiri,26,"80,000",,
Lazar Markovic,24,"75,000",,
Georginio Wijnaldum,27,"75,000",,
Alberto Moreno,26,"65,000",,
Simon Mignolet,30,"60,000",,
Tren Alexander-Arnold,19,"50,000",,
Andrew Robertson,24,"50,000",,
Divock Origi,23,"45,000",,
Joe Gomez,21,"30,000",,
Rhian Brewster,18,"10,000",,
Harry Wilson,21,,,-
Kevin De Bruyne,27,"350,000",,
Sergio Aguero,30,"250,000",,
David Silva,32,"220,000",,
Raheem Sterling,23,"180,000",,
Fernandinho Luiz Roza,33,"150,000",,
Ilkay Gundogan,27,"120,000",,
Vincent Kompany,32,"120,000",,
Riyad Mahrez,27,"120,000",,
Nicolas Otamendi,30,"120,000",,
Bernardo Silva,24,"120,000",,
Eliaquim Mangala,27,"100,000",,
John Stones,24,"100,000",,
Kyle Walker,28,"100,000",,
Fabian Delph,28,"90,000",,
Gabriel Jesus,21,"90,000",,
Benjamin Mendy,24,"90,000",,
Leroy Sane,22,"90,000",,
Claudio Bravo,35,"80,000",,
Danilo Luiz da Silva,27,"80,000",,
Aymeric Laporte,24,"65,000",,
Ederson Moraes,25,"65,000",,
Philippe Sandler,21,"38,000",,
Oleksandr Zinchenko,21,"20,000",,
Phil Foden,0,"12,000",,
Brahim Diaz,19,"8,000",,
Alexis Sanchez,29,"350,000",,
Paul Pogba,25,"290,000",,
David De Gea,27,"200,000",,
Romelu Lukaku,25,"180,000",,
Juan Mata,30,"160,000",,
Luke Shaw,23,"150,000",,
Frederico de Paula Santos,25,"120,000",,
Victor Lindelof,24,"120,000",,
Nemanja Matic,30,"120,000",,
Ashley Young,33,"120,000",,
Ander Herrera,29,"115,000",,
Anthony Martial,22,"110,000",,
Marouane Fellaini,30,"100,000",,
Antonio Valencia,33,"85,000",,
Eric Bailly,24,"80,000",,
Marcos Rojo,28,"80,000",,
Chris Smalling,28,"80,000",,
Phil Jones,26,"75,000",,
Jesse Lingard,25,"75,000",,
Sergio Romero,31,"70,000",,
Matteo Darmian,28,"45,000",,
Marcus Rashford,20,"45,000",,
Lee Grant,35,"30,000",,
Andreas Pereira,22,"30,000",,
Diogo Dalot,19,"25,000",,
Scott McTominay,21,"10,000",,
Jonjo Shelvey,26,"70,000",,
Yoshinori Muto,26,"54,000",,
Mohamed Diame,31,"45,000",,
Ayoze Perez,25,"45,000",,
Matt Ritchie,28,"45,000",,
Federico Fernandez,29,"43,000",,
Jamaal Lascelles,24,"40,000",,
Joselu Mato,28,"40,000",,
Fabian Schar,26,"40,000",,
Ki Sung-yueng,29,"40,000",,
Martin Dubravka,29,"38,000",,
Florian Lejeune,27,"38,000",,
Ciaran Clark,28,"35,000",,
Paul Dummett,26,"35,000",,
Javier Manquillo,24,"35,000",,
